DOI,BC,NO2,PM10,PM2.5,O3,NOx,VOC,CO,SO2,AQI,ozone,NOX,NH3,AOD,VOCs,AQIPM2.5,AQINO2,BLSO2,PM,NO₂,PM2:5,NO,benzene,BBOA,HOA,OOA,O
https://doi.org/10.1016/j.scitotenv.2020.140353,,"['-62.0', '-50.0']",,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.1016/j.scitotenv.2020.139022,,,,['-28.3'],,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.4209/aaqr.2020.04.0163,,,,['-58.4'],,,,['-50.0'],,,,,,,,,,,,,,,,,,,
https://doi.org/10.4209/aaqr.2020.05.0218,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.4209/aaqr.2020.06.0334,,"['-23.1', '-21.74', '-54.0', '-20.0', '-43.63', '-22.43']",,['-23.1'],,,,"['-21.74', '-20.0', '-30.0']",,,,,,,,,,,,,,,,,,,
http://dx.doi.org/10.3390/atmos11060630,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.1016/j.scitotenv.2020.139280,['-57.5'],,"['-32.7', '-40.5', '-13.1', '-18.9']","['-37.1', '-44.4']",,,,"['-57.6', '-49.1', '-32.0']","['-19.9', '-25.4']",,,,,,,,,,,,,,"['-49.6', '-48.8']",,,,
https://doi.org/10.1016/j.scitotenv.2020.139825,,,['-47.0'],['-45.0'],,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.1016/j.scitotenv.2020.139541,,['-96.0'],['-75.0'],,,,,,['-49.0'],,,,,,,,,,,,,,,,,,
https://doi.org/10.30955/gnj.003431,,"['-51.0', '-60.0']",['-53.0'],['-45.0'],,,,,,,"['20.0', '30.0']",,,,,,,,,,,['-94.0'],,,,,
https://doi.org/10.1016/j.scitotenv.2020.140496,,,,"['-36.0', '-51.0']",,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.1016/j.scitotenv.2020.139052,,"['-5.93', '-24.67']","['-6.76', '-13.66']",['-5.93'],,,,"['-6.76', '-5.93', '-13.66', '-4.58']",['-6.76'],['-7.8'],,,,,,,,,,,,,,,,,
https://doi.org/10.1016/j.scitotenv.2020.140516,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.5194/acp-21-17167-2021,,,,,,['-42.0'],,,,,,,,,,,,,,,,,,"['20.0', '58.0']",['-62.0'],,
https://doi.org/10.1016/j.scitotenv.2020.139085,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.1016/j.scitotenv.2020.139765,,,,,,,,,,,['67.0'],,,,,,,,,,,,,,,,
https://doi.org/10.1016/j.scitotenv.2020.139087,,['-54.3'],,,"['30.0', '17.0']",,,['-64.8'],,,"['30.0', '57.7']",,,,,,,,,,,['-77.3'],,,,,
https://doi.org/10.1016/j.envpol.2020.114883,,,,,,,,,,,,,,,,,,,,,,,,,,,
